Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Omaha, NE",2014,11,103,,74,,27,,,-,1,,1,,14,,"Omaha, NE
(41.25860914000049, -95.9377877719997)",
"Schenectady, NY",2014,11,20,,13,,5,,2,,,-,,-,1,,"Schenectady, NY
(42.81423655900045, -73.93956823999963)",
"Minneapolis, MN",2014,11,76,,48,,17,,7,,2,,2,,7,,"Minneapolis, MN
(44.979966969000486, -93.26383843199966)",
"Ogden, UT",2014,11,32,,21,,9,,,-,1,,1,,4,,"Ogden, UT
(41.22299943900049, -111.97382551899972)",
"Yonkers, NY",2014,11,17,,12,,4,,1,,,-,,-,,-,"Yonkers, NY
(40.93120596400047, -73.89874802099968)",
"Dallas, TX",2014,11,210,,134,,46,,17,,5,,8,,22,,"Dallas, TX
(32.78305914300046, -96.80666629699965)",
"Phoenix, AZ",2014,11,147,,88,,38,,8,,7,,6,,13,,"Phoenix, AZ
(33.448376522000444, -112.07403573799968)",
"Miami, FL",2014,11,72,,57,,11,,2,,1,,1,,2,,"Miami, FL
(25.774269795000464, -80.19365598899964)",
"Rockford, IL",2014,11,60,,41,,14,,3,,2,,,-,2,,"Rockford, IL
(42.27112786100048, -89.09399814199969)",
"Savannah, GA",2014,11,52,,35,,12,,4,,1,,,-,4,,"Savannah, GA
(32.08353593300046, -81.09982705899967)",
"Honolulu, HI",2014,11,83,,68,,12,,3,,,-,,-,7,,"Honolulu, HI
(21.306939558000465, -157.85832571099974)",
"Pittsburgh, PA§",2014,11,49,,41,,7,,1,,,-,,-,2,,"Pittsburgh, PA
(40.44061640300049, -79.99588580599965)",
"Wichita, KS",2014,11,85,,58,,18,,8,,,-,1,,8,,"Wichita, KS
(37.69223945700048, -97.33753612799967)",
"Cleveland, OH",2014,11,245,,175,,51,,15,,2,,2,,13,,"Cleveland, OH
(41.49949882900046, -81.69540989699965)",
"Kansas City, KS",2014,11,43,,29,,10,,3,,,-,1,,2,,"Kansas City, KS
(39.114166258000466, -94.62745963399965)",
"Wilmington, DE",2014,11,19,,15,,3,,1,,,-,,-,,-,"Wilmington, DE
(39.7459482430005, -75.54658989799964)",
"Salt Lake City, UT",2014,11,131,,90,,29,,7,,3,,2,,12,,"Salt Lake City, UT
(40.76077974900045, -111.8910466859997)",
"Somerville, MA",2014,11,1,,1,,,-,,-,,-,,-,,-,"Somerville, MA
(42.38759957400049, -71.09949878699967)",
"St. Louis, MO",2014,11,73,,40,,19,,6,,3,,3,,1,,"St. Louis, MO
(38.62726635500047, -90.19788989999967)",
"Tucson, AZ",2014,11,185,,136,,31,,10,,7,,1,,9,,"Tucson, AZ
(32.22173613300049, -110.92647552399967)",
"Cincinnati, OH",2014,11,80,,46,,22,,6,,3,,3,,7,,"Cincinnati, OH
(39.1619968280005, -84.45688962899965)",
"Long Beach, CA",2014,11,76,,50,,15,,4,,1,,6,,10,,"Long Beach, CA
(33.76695601500046, -118.18922585099972)",
"Dayton, OH",2014,11,161,,106,,39,,13,,,-,3,,15,,"Dayton, OH
(39.758947539000474, -84.19160769999968)",
"Houston, TX",2014,11,345,,236,,68,,21,,6,,14,,26,,"Houston, TX
(29.763276335000455, -95.36326748399966)",
"Paterson, NJ",2014,11,,U,,U,,U,,U,,U,,U,,U,"Paterson, NJ
(40.916766802000495, -74.17180972999967)",
"St. Paul, MN",2014,11,36,,26,,5,,,-,1,,3,,4,,"St. Paul, MN
(44.94440676300047, -93.0932682299997)",
"Kansas City, MO",2014,11,86,,51,,23,,8,,2,,1,,8,,"Kansas City, MO
(39.099727095000446, -94.57856716299966)",
"Colorado Springs, CO",2014,11,81,,59,,19,,2,,,-,1,,3,,"Colorado Springs, CO
(38.83387821800045, -104.82135997799969)",
"Columbus, OH",2014,11,295,,205,,65,,15,,4,,6,,22,,"Columbus, OH
(39.96117680800046, -82.99878617799965)",
"Los Angeles, CA",2014,11,224,,142,,55,,13,,10,,4,,29,,"Los Angeles, CA
(34.05222959300045, -118.2436798069997)",
"Chattanooga, TN",2014,11,123,,81,,30,,8,,2,,2,,8,,"Chattanooga, TN
(35.04562958500048, -85.30967764399963)",
"San Francisco, CA",2014,11,110,,72,,26,,9,,,-,3,,6,,"San Francisco, CA
(37.774928298000475, -122.41941905199968)",
"Boston, MA",2014,11,191,,120,,49,,13,,3,,6,,19,,"Boston, MA
(42.358428776000494, -71.05976746599964)",
"Fresno, CA",2014,11,133,,90,,28,,9,,4,,2,,9,,"Fresno, CA
(36.74772743700049, -119.77236822099968)",
"Waterbury, CT",2014,11,24,,14,,9,,,-,,-,1,,2,,"Waterbury, CT
(41.558146397000485, -73.05149899299965)",
"Trenton, NJ",2014,11,22,,14,,7,,1,,,-,,-,1,,"Trenton, NJ
(40.21704561000047, -74.74293733199966)",
"Birmingham, AL",2014,11,181,,112,,48,,8,,2,,11,,17,,"Birmingham, AL
(33.52065782700049, -86.80248638099965)",
New England,2014,12,504,,367,,96,,20,,9,,12,,51,,,
Mid. Atlantic,2014,12,1779,,1233,,387,,110,,29,,20,,104,,,
E.N. Central,2014,12,2188,,1467,,510,,133,,36,,42,,160,,,
W.N. Central,2014,12,722,,448,,183,,58,,18,,13,,43,,,
S. Atlantic,2014,12,1146,,729,,294,,78,,22,,23,,89,,,
E.S. Central,2014,12,1043,,673,,264,,59,,31,,16,,88,,,
W.S. Central,2014,12,1570,,991,,425,,97,,38,,19,,86,,,
Mountain,2014,12,1185,,803,,262,,82,,23,,15,,78,,,
Pacific,2014,12,1907,,1349,,406,,92,,28,,32,,168,,,
Total¶,2014,12,12044,,8060,,2827,,729,,234,,192,,867,,,
"Wilmington, DE",2014,12,9,,8,,1,,,-,,-,,-,,-,"Wilmington, DE
(39.7459482430005, -75.54658989799964)",
"Erie, PA",2014,12,61,,48,,10,,1,,2,,,-,4,,"Erie, PA
(42.1292155050005, -80.08505854699968)",
"South Bend, IN",2014,12,55,,36,,14,,4,,,-,1,,3,,"South Bend, IN
(41.68337879800049, -86.25000955099966)",
"Somerville, MA",2014,12,6,,3,,2,,,-,1,,,-,,-,"Somerville, MA
(42.38759957400049, -71.09949878699967)",
"Honolulu, HI",2014,12,108,,80,,21,,5,,1,,1,,12,,"Honolulu, HI
(21.306939558000465, -157.85832571099974)",
"Cambridge, MA",2014,12,12,,10,,1,,,-,1,,,-,2,,"Cambridge, MA
(42.37509973100049, -71.10560922099967)",
"Omaha, NE",2014,12,104,,72,,23,,4,,2,,3,,9,,"Omaha, NE
(41.25860914000049, -95.9377877719997)",
"Canton, OH",2014,12,37,,25,,10,,1,,1,,,-,3,,"Canton, OH
(40.79894971400046, -81.37844575399964)",
"Albany, NY",2014,12,46,,32,,11,,1,,,-,2,,2,,"Albany, NY
(42.65257553200047, -73.75622822099967)",
"Nashville, TN",2014,12,169,,117,,39,,8,,4,,1,,10,,"Nashville, TN
(36.165886327000464, -86.78443855199964)",
"Berkeley, CA",2014,12,21,,18,,3,,,-,,-,,-,,-,"Berkeley, CA
(37.871588345000475, -122.27274613599968)",
"Baltimore, MD",2014,12,130,,72,,43,,10,,5,,,-,8,,"Baltimore, MD
(39.29037893700047, -76.61218570299962)",
"Waterbury, CT",2014,12,36,,29,,7,,,-,,-,,-,4,,"Waterbury, CT
(41.558146397000485, -73.05149899299965)",
"New York City, NY",2014,12,1047,,732,,224,,64,,16,,11,,62,,"New York City, NY
(40.71426755700048, -74.00596858999967)",
"Los Angeles, CA",2014,12,257,,167,,63,,13,,6,,8,,33,,"Los Angeles, CA
(34.05222959300045, -118.2436798069997)",
"Cleveland, OH",2014,12,293,,219,,57,,12,,2,,3,,17,,"Cleveland, OH
(41.49949882900046, -81.69540989699965)",
"Shreveport, LA",2014,12,51,,37,,11,,2,,1,,,-,5,,"Shreveport, LA
(32.52514753100047, -93.75017588799966)",
"Montgomery, AL",2014,12,50,,38,,12,,,-,,-,,-,3,,"Montgomery, AL
(32.36680719600048, -86.29996842399964)",
"Buffalo, NY",2014,12,105,,69,,32,,3,,1,,,-,3,,"Buffalo, NY
(42.88644587100049, -78.87836930999964)",
"Richmond, VA",2014,12,62,,38,,17,,2,,,-,5,,6,,"Richmond, VA
(37.5537557830005, -77.46025815499968)",
"Tucson, AZ",2014,12,157,,109,,32,,12,,3,,1,,7,,"Tucson, AZ
(32.22173613300049, -110.92647552399967)",
"Minneapolis, MN",2014,12,56,,31,,14,,7,,3,,1,,2,,"Minneapolis, MN
(44.979966969000486, -93.26383843199966)",
"Lexington, KY",2014,12,99,,57,,23,,5,,11,,3,,2,,"Lexington, KY
(37.988689999000485, -84.47771819999969)",
"Portland, OR",2014,12,147,,93,,41,,9,,1,,3,,5,,"Portland, OR
(45.52344913200045, -122.6762057679997)",
"Albuquerque, NM",2014,12,134,,86,,28,,20,,,-,,-,15,,"Albuquerque, NM
(35.084487986000454, -106.65113800499967)",
"Chicago, IL",2014,12,273,,178,,71,,16,,5,,3,,18,,"Chicago, IL
(41.850029863000486, -87.65004587999965)",
"Duluth, MN",2014,12,35,,29,,5,,1,,,-,,-,2,,"Duluth, MN
(46.78326944800045, -92.10657711699969)",
"Lincoln, NC",2014,12,43,,30,,9,,2,,1,,1,,1,,"Lincoln, NC
(40.799998117000484, -96.66695873599969)",
"Camden, NJ",2014,12,13,,8,,3,,1,,1,,,-,1,,"Camden, NJ
(39.925949571000444, -75.11961994399962)",
"Tacoma, WA",2014,12,139,,101,,28,,7,,2,,1,,12,,"Tacoma, WA
(47.25287745300051, -122.44428824799968)",
"Colorado Springs, CO",2014,12,75,,54,,14,,4,,2,,1,,2,,"Colorado Springs, CO
(38.83387821800045, -104.82135997799969)",
"Cincinnati, OH",2014,12,88,,54,,23,,7,,3,,1,,3,,"Cincinnati, OH
(39.1619968280005, -84.45688962899965)",
"Fort Wayne, IN",2014,12,90,,62,,22,,2,,3,,1,,5,,"Fort Wayne, IN
(41.130595997000455, -85.12885739199965)",
"Newark, NJ",2014,12,30,,6,,7,,12,,4,,1,,1,,"Newark, NJ
(40.735658576000446, -74.17236767799966)",
"Denver, CO",2014,12,90,,57,,26,,3,,3,,1,,2,,"Denver, CO
(39.7391493720005, -104.98469934999969)",
"Washington, D.C.",2014,12,164,,94,,44,,13,,2,,11,,14,,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Memphis, TN",2014,12,207,,128,,55,,17,,7,,,-,20,,"Memphis, TN
(35.14952946200049, -90.04897619199966)",
"Salt Lake City, UT",2014,12,114,,76,,28,,6,,3,,1,,11,,"Salt Lake City, UT
(40.76077974900045, -111.8910466859997)",
"Youngstown, OH",2014,12,65,,54,,11,,,-,,-,,-,2,,"Youngstown, OH
(41.09977835100045, -80.64951776699968)",
"Glendale, CA",2014,12,38,,32,,5,,,-,1,,,-,5,,"Glendale, CA
(34.142509231000474, -118.2550772519997)",
"Elizabeth, NJ",2014,12,19,,9,,8,,2,,,-,,-,4,,"Elizabeth, NJ
(40.66398921400048, -74.21069962799965)",
"Des Moines, IA",2014,31,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
",
"Little Rock, AR",2014,12,74,,49,,21,,4,,,-,,-,5,,"Little Rock, AR
(39.52368635500045, -99.11415045099966)",
"Lansing, MI",2014,12,49,,36,,10,,1,,,-,2,,2,,"Lansing, MI
(42.732537626000465, -84.55552949299965)",
"El Paso, TX",2014,12,146,,91,,42,,8,,4,,1,,6,,"El Paso, TX
(31.758715518000486, -106.48692571399971)",
"Wichita, KS",2014,12,85,,54,,22,,5,,4,,,-,4,,"Wichita, KS
(37.69223945700048, -97.33753612799967)",
"Charlotte, NC",2014,12,141,,86,,40,,11,,3,,1,,10,,"Charlotte, NC
(35.22708877800045, -80.84312583499968)",
"Hartford, CT",2014,12,42,,38,,4,,,-,,-,,-,4,,"Hartford, CT
(41.76370985800048, -72.68508892999967)",
"Jersey City, NJ",2014,12,16,,14,,1,,1,,,-,,-,1,,"Jersey City, NJ
(40.7281577710005, -74.07763795199963)",
"San Francisco, CA",2014,12,130,,88,,37,,4,,,-,1,,6,,"San Francisco, CA
(37.774928298000475, -122.41941905199968)",
"Trenton, NJ",2014,12,22,,10,,10,,1,,1,,,-,,-,"Trenton, NJ
(40.21704561000047, -74.74293733199966)",
"Baton Rouge, LA",2014,12,100,,68,,25,,4,,1,,2,,2,,"Baton Rouge, LA
(30.450749661000486, -91.15454629399966)",
"Knoxville, TN",2014,12,140,,90,,39,,6,,3,,2,,16,,"Knoxville, TN
(35.96063783700049, -83.92073728699967)",
"Atlanta, GA",2014,12,156,,79,,49,,22,,4,,2,,19,,"Atlanta, GA
(33.74899817800048, -84.38797851199968)",
"Dayton, OH",2014,12,129,,83,,27,,17,,,-,2,,12,,"Dayton, OH
(39.758947539000474, -84.19160769999968)",
"Springfield, MA",2014,12,37,,26,,10,,1,,,-,,-,6,,"Springfield, MA
(42.10147557400046, -72.58980575499965)",
"Dallas, TX",2014,12,255,,143,,83,,18,,9,,2,,19,,"Dallas, TX
(32.78305914300046, -96.80666629699965)",
"Grand Rapids, MI",2014,12,47,,34,,6,,4,,1,,2,,8,,"Grand Rapids, MI
(42.96335724700049, -85.66808744799965)",
"Kansas City, KS",2014,12,32,,17,,11,,2,,2,,,-,1,,"Kansas City, KS
(39.114166258000466, -94.62745963399965)",
"Savannah, GA",2014,12,67,,45,,17,,3,,2,,,-,2,,"Savannah, GA
(32.08353593300046, -81.09982705899967)",
"Mobile, AL",2014,12,92,,65,,17,,3,,,-,7,,6,,"Mobile, AL
(30.694357098000467, -88.04304847999964)",
"Yonkers, NY",2014,12,14,,8,,4,,1,,1,,,-,2,,"Yonkers, NY
(40.93120596400047, -73.89874802099968)",
"Tulsa, OK",2014,12,55,,44,,7,,1,,,-,3,,2,,"Tulsa, OK
(36.153975930000456, -95.99277717899969)",
"Syracuse, NY",2014,12,50,,36,,9,,2,,1,,2,,4,,"Syracuse, NY
(43.04811589700046, -76.14741924999964)",
"Las Vegas, NV",2014,12,316,,206,,80,,21,,6,,3,,24,,"Las Vegas, NV
(36.17496648600047, -115.13721702699968)",
"Rochester, NY",2014,12,163,,118,,36,,7,,1,,1,,8,,"Rochester, NY
(43.154778518000455, -77.61555677099966)",
"Ogden, UT",2014,12,41,,31,,3,,4,,1,,2,,5,,"Ogden, UT
(41.22299943900049, -111.97382551899972)",
"Milwaukee, WI",2014,12,48,,27,,17,,2,,2,,,-,3,,"Milwaukee, WI
(43.038896251000494, -87.90646812999967)",
"Phoenix, AZ",2014,12,161,,108,,35,,11,,3,,4,,8,,"Phoenix, AZ
(33.448376522000444, -112.07403573799968)",
"Paterson, NJ",2014,12,25,,13,,8,,2,,1,,1,,2,,"Paterson, NJ
(40.916766802000495, -74.17180972999967)",
"Spokane, WA",2014,12,69,,55,,9,,4,,,-,1,,8,,"Spokane, WA
(47.65965777700046, -117.42907975499969)",
"Des Moines, IA",2014,12,75,,50,,18,,7,,,-,,-,2,,"Des Moines, IA
(41.60053697100045, -93.60910945299969)",
"Worcester, MA",2014,12,66,,48,,10,,6,,1,,1,,8,,"Worcester, MA
(42.26258765200049, -71.80228869399963)",
"San Jose, CA",2014,12,219,,166,,39,,6,,5,,3,,22,,"San Jose, CA
(37.33938663800046, -121.89495662699971)",
"Lowell, MA",2014,12,19,,15,,3,,1,,,-,,-,2,,"Lowell, MA
(42.63341630600047, -71.31616721899962)",
"Sacramento, CA",2014,12,214,,156,,41,,12,,3,,2,,23,,"Sacramento, CA
(38.58156858700045, -121.49439922699969)",
"Gary, IN",2014,12,15,,5,,6,,3,,1,,,-,,-,"Gary, IN
(41.5933691350005, -87.34642750099965)",
"St. Louis, MO",2014,12,122,,57,,38,,20,,4,,2,,5,,"St. Louis, MO
(38.62726635500047, -90.19788989999967)",
"Utica, NY",2014,12,9,,7,,1,,1,,,-,,-,1,,"Utica, NY
(43.10089600800046, -75.23265847499965)",
"Pueblo, CO",2014,12,41,,35,,6,,,-,,-,,-,1,,"Pueblo, CO
(38.25444888500044, -104.6091371339997)",
"Peoria, IL",2014,12,81,,59,,17,,2,,2,,1,,6,,"Peoria, IL
(40.693645967000464, -89.58898829599968)",
"San Diego, CA",2014,12,174,,130,,30,,10,,1,,3,,17,,"San Diego, CA
(32.71532691700048, -117.15725993099971)",
"Providence, RI",2014,12,,U,,U,,U,,U,,U,,U,,U,"Providence, RI
(41.82398627500049, -71.41282726599962)",
"Corpus Christi, TX",2014,12,51,,36,,9,,6,,,-,,-,8,,"Corpus Christi, TX
(27.800576119000482, -97.39637717799968)",
"Kansas City, MO",2014,12,122,,75,,35,,7,,1,,3,,11,,"Kansas City, MO
(39.099727095000446, -94.57856716299966)",
"Seattle, WA",2014,12,127,,89,,24,,10,,2,,2,,5,,"Seattle, WA
(47.60620722800047, -122.33206864199968)",
"Lynn, MA",2014,12,5,,3,,1,,,-,,-,1,,,-,"Lynn, MA
(42.466756242000486, -70.94948718099965)",
"Indianapolis, IN",2014,12,186,,117,,49,,9,,3,,8,,20,,"Indianapolis, IN
(39.768378665000455, -86.15803806899964)",
"Santa Cruz, CA",2014,12,37,,28,,7,,1,,1,,,-,1,,"Santa Cruz, CA
(36.97411946900047, -122.0307990449997)",
"St. Paul, MN",2014,12,48,,33,,8,,3,,1,,3,,6,,"St. Paul, MN
(44.94440676300047, -93.0932682299997)",
"Houston, TX",2014,12,345,,221,,97,,10,,13,,4,,11,,"Houston, TX
(29.763276335000455, -95.36326748399966)",
"Long Beach, CA",2014,12,75,,48,,22,,1,,1,,3,,3,,"Long Beach, CA
(33.76695601500046, -118.18922585099972)",
"Detroit, MI",2014,12,152,,85,,45,,13,,3,,6,,17,,"Detroit, MI
(42.331426776000455, -83.04574832899965)",
"Akron, OH",2014,12,53,,37,,9,,6,,,-,1,,6,,"Akron, OH
(41.081438050000486, -81.51900823499966)",
"Norfolk, VA",2014,12,37,,22,,7,,3,,2,,3,,1,,"Norfolk, VA
(36.846808260000444, -76.28521898699967)",
"New Bedford, MA",2014,12,30,,25,,4,,1,,,-,,-,3,,"New Bedford, MA
(41.636218666000445, -70.93419759699964)",
"Scranton, PA",2014,12,28,,20,,7,,1,,,-,,-,2,,"Scranton, PA
(41.408967214000484, -75.66240917099964)",
"Rockford, IL",2014,12,66,,50,,13,,2,,,-,1,,4,,"Rockford, IL
(42.27112786100048, -89.09399814199969)",
"Boise, ID",2014,12,56,,41,,10,,1,,2,,2,,3,,"Boise, ID
(43.61349753100046, -116.20344727299971)",
"Jacksonville, FL",2014,12,141,,106,,29,,6,,,-,,-,15,,"Jacksonville, FL
(30.33217664300048, -81.65564707899966)",
"Pasadena, CA",2014,12,27,,17,,7,,2,,,-,1,,3,,"Pasadena, CA
(34.14777824300046, -118.14451799199969)",
"Columbus, OH",2014,12,265,,172,,59,,19,,7,,8,,19,,"Columbus, OH
(39.96117680800046, -82.99878617799965)",
"Philadelphia, PA",2014,12,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95233962700047, -75.16378785299963)",
"St. Petersburg, FL",2014,12,62,,47,,10,,2,,3,,,-,4,,"St. Petersburg, FL
(27.77085637200048, -82.67926627199967)",
"Allentown, PA",2014,12,35,,26,,4,,3,,,-,2,,1,,"Allentown, PA
(40.60842836000046, -75.49017862299968)",
"Pittsburgh, PA§",2014,12,41,,30,,9,,2,,,-,,-,3,,"Pittsburgh, PA
(40.44061640300049, -79.99588580599965)",
"Fresno, CA",2014,12,125,,81,,29,,8,,4,,3,,13,,"Fresno, CA
(36.74772743700049, -119.77236822099968)",
"San Antonio, TX",2014,12,307,,202,,80,,16,,4,,5,,19,,"San Antonio, TX
(29.424115748000474, -98.49362755099969)",
"New Haven, CT",2014,12,41,,31,,8,,2,,,-,,-,7,,"New Haven, CT
(41.308149552000486, -72.92815641699963)",
"Evansville, IN",2014,12,68,,48,,16,,3,,1,,,-,6,,"Evansville, IN
(37.97475929000046, -87.55584710499966)",
"Birmingham, AL",2014,12,211,,125,,60,,17,,6,,3,,25,,"Birmingham, AL
(33.52065782700049, -86.80248638099965)",
"Austin, TX",2014,12,93,,51,,28,,12,,1,,1,,9,,"Austin, TX
(30.26714866600048, -97.74305656899969)",
"New Orleans, LA",2014,12,93,,49,,22,,16,,5,,1,,,-,"New Orleans, LA
(29.95464811000045, -90.07506927499969)",
"Chattanooga, TN",2014,12,75,,53,,19,,3,,,-,,-,6,,"Chattanooga, TN
(35.04562958500048, -85.30967764399963)",
"Fort Worth, TX",2014,12,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.725405983000485, -97.32084717299966)",
"Miami, FL",2014,12,69,,55,,10,,2,,1,,1,,4,,"Miami, FL
(25.774269795000464, -80.19365598899964)",
"Fall River, MA",2014,12,21,,19,,1,,1,,,-,,-,3,,"Fall River, MA
(41.70148962100046, -71.15504614199966)",
"Boston, MA",2014,12,147,,91,,34,,7,,5,,10,,10,,"Boston, MA
(42.358428776000494, -71.05976746599964)",
"Toledo, OH",2014,12,128,,86,,28,,10,,2,,2,,6,,"Toledo, OH
(41.663936099000466, -83.55520914299967)",
"Schenectady, NY",2014,12,28,,27,,1,,,-,,-,,-,2,,"Schenectady, NY
(42.81423655900045, -73.93956823999963)",
"Tampa, FL",2014,12,108,,77,,27,,4,,,-,,-,6,,"Tampa, FL
(27.947519009000473, -82.45842672599969)",
"Reading, PA",2014,12,27,,20,,2,,5,,,-,,-,1,,"Reading, PA
(40.335645625000495, -75.92686767699968)",
"Bridgeport, CT",2014,12,42,,29,,11,,1,,1,,,-,2,,"Bridgeport, CT
(41.16703812200046, -73.20482679199966)",
New England,2014,13,577,,402,,119,,30,,9,,17,,50,,,
Mid. Atlantic,2014,13,1777,,1268,,380,,84,,21,,24,,108,,,
E.N. Central,2014,13,2039,,1393,,465,,104,,27,,50,,121,,,
W.N. Central,2014,13,788,,542,,162,,38,,22,,22,,48,,,
S. Atlantic,2014,13,1156,,712,,299,,86,,33,,26,,68,,,
E.S. Central,2014,13,970,,613,,257,,62,,25,,13,,66,,,
W.S. Central,2014,13,1815,,1141,,492,,114,,45,,23,,93,,,
Mountain,2014,13,1311,,886,,296,,72,,38,,18,,88,,,
Pacific,2014,13,1766,,1235,,372,,99,,37,,23,,153,,,
Total¶,2014,13,12199,,8192,,2842,,689,,257,,216,,795,,,
"Birmingham, AL",2014,13,190,,124,,50,,8,,5,,3,,11,,"Birmingham, AL
(33.52065782700049, -86.80248638099965)",
"Denver, CO",2014,13,120,,77,,36,,4,,1,,2,,8,,"Denver, CO
(39.7391493720005, -104.98469934999969)",
"Washington, D.C.",2014,13,84,,49,,26,,6,,2,,1,,3,,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Waterbury, CT",2014,13,21,,17,,3,,1,,,-,,-,2,,"Waterbury, CT
(41.558146397000485, -73.05149899299965)",
"Toledo, OH",2014,13,97,,66,,22,,6,,3,,,-,4,,"Toledo, OH
(41.663936099000466, -83.55520914299967)",
"San Jose, CA",2014,13,198,,152,,31,,10,,2,,3,,22,,"San Jose, CA
(37.33938663800046, -121.89495662699971)",
"Wilmington, DE",2014,13,19,,13,,5,,1,,,-,,-,2,,"Wilmington, DE
(39.7459482430005, -75.54658989799964)",
"Tacoma, WA",2014,13,122,,89,,24,,4,,5,,,-,11,,"Tacoma, WA
(47.25287745300051, -122.44428824799968)",
"Cincinnati, OH",2014,13,80,,49,,21,,5,,1,,4,,4,,"Cincinnati, OH
(39.1619968280005, -84.45688962899965)",
"Wichita, KS",2014,13,110,,66,,29,,10,,5,,,-,6,,"Wichita, KS
(37.69223945700048, -97.33753612799967)",
"Tampa, FL",2014,13,102,,62,,26,,8,,3,,3,,6,,"Tampa, FL
(27.947519009000473, -82.45842672599969)",
"Portland, OR",2014,13,123,,82,,28,,12,,1,,,-,5,,"Portland, OR
(45.52344913200045, -122.6762057679997)",
"Cleveland, OH",2014,13,272,,188,,61,,6,,5,,12,,15,,"Cleveland, OH
(41.49949882900046, -81.69540989699965)",
"Boston, MA",2014,13,134,,85,,33,,11,,1,,4,,13,,"Boston, MA
(42.358428776000494, -71.05976746599964)",
"Akron, OH",2014,13,45,,32,,11,,2,,,-,,-,5,,"Akron, OH
(41.081438050000486, -81.51900823499966)",
"Detroit, MI",2014,13,144,,76,,42,,12,,2,,12,,8,,"Detroit, MI
(42.331426776000455, -83.04574832899965)",
"Reading, PA",2014,13,32,,23,,7,,,-,1,,1,,5,,"Reading, PA
(40.335645625000495, -75.92686767699968)",
"St. Petersburg, FL",2014,13,59,,44,,13,,1,,,-,1,,8,,"St. Petersburg, FL
(27.77085637200048, -82.67926627199967)",
"New Haven, CT",2014,13,40,,25,,9,,3,,1,,2,,3,,"New Haven, CT
(41.308149552000486, -72.92815641699963)",
"Des Moines, IA",2014,13,76,,49,,22,,3,,1,,1,,6,,"Des Moines, IA
(41.60053697100045, -93.60910945299969)",
"Savannah, GA",2014,13,52,,34,,14,,1,,,-,3,,2,,"Savannah, GA
(32.08353593300046, -81.09982705899967)",
"St. Louis, MO",2014,13,104,,56,,30,,9,,6,,3,,9,,"St. Louis, MO
(38.62726635500047, -90.19788989999967)",
"Norfolk, VA",2014,13,70,,39,,18,,5,,4,,4,,3,,"Norfolk, VA
(36.846808260000444, -76.28521898699967)",
"Chattanooga, TN",2014,13,83,,51,,24,,3,,3,,2,,3,,"Chattanooga, TN
(35.04562958500048, -85.30967764399963)",
"Berkeley, CA",2014,13,11,,10,,1,,,-,,-,,-,1,,"Berkeley, CA
(37.871588345000475, -122.27274613599968)",
"Shreveport, LA",2014,13,79,,43,,32,,3,,1,,,-,6,,"Shreveport, LA
(32.52514753100047, -93.75017588799966)",
"Jersey City, NJ",2014,13,18,,16,,2,,,-,,-,,-,3,,"Jersey City, NJ
(40.7281577710005, -74.07763795199963)",
"Rochester, NY",2014,13,147,,108,,29,,8,,1,,1,,6,,"Rochester, NY
(43.154778518000455, -77.61555677099966)",
"Baltimore, MD",2014,13,171,,101,,50,,10,,4,,6,,18,,"Baltimore, MD
(39.29037893700047, -76.61218570299962)",
"Springfield, MA",2014,13,43,,29,,8,,2,,2,,2,,3,,"Springfield, MA
(42.10147557400046, -72.58980575499965)",
"El Paso, TX",2014,13,113,,83,,24,,3,,3,,,-,3,,"El Paso, TX
(31.758715518000486, -106.48692571399971)",
"Syracuse, NY",2014,13,102,,77,,20,,4,,1,,,-,8,,"Syracuse, NY
(43.04811589700046, -76.14741924999964)",
"Long Beach, CA",2014,13,50,,42,,7,,,-,1,,,-,7,,"Long Beach, CA
(33.76695601500046, -118.18922585099972)",
"Fort Wayne, IN",2014,13,56,,35,,14,,6,,,-,1,,3,,"Fort Wayne, IN
(41.130595997000455, -85.12885739199965)",
"Buffalo, NY",2014,13,83,,60,,17,,4,,2,,,-,5,,"Buffalo, NY
(42.88644587100049, -78.87836930999964)",
"Erie, PA",2014,13,52,,41,,8,,3,,,-,,-,3,,"Erie, PA
(42.1292155050005, -80.08505854699968)",
"Lowell, MA",2014,13,24,,18,,4,,2,,,-,,-,2,,"Lowell, MA
(42.63341630600047, -71.31616721899962)",
"Dayton, OH",2014,13,145,,109,,24,,8,,1,,3,,10,,"Dayton, OH
(39.758947539000474, -84.19160769999968)",
"Gary, IN",2014,13,9,,4,,4,,,-,1,,,-,,-,"Gary, IN
(41.5933691350005, -87.34642750099965)",
